,issue_d,loan_status,term,funded_amnt,annual_inc,dti,fico_range_low,mths_since_last_delinq,emp_length,grade,home_ownership,issue_date
1057372,2016-02-01,Fully Paid, 36 months,11500.0,60000.0,10.82,665.0,61.0,5 years,B,RENT,2016-02-01
1057373,2016-02-01,Late (31-120 days), 36 months,30525.0,175000.0,12.71,750.0,31.0,2 years,C,OWN,2016-02-01
1057374,2016-02-01,Fully Paid, 36 months,11575.0,76000.0,12.74,665.0,38.0,10+ years,D,RENT,2016-02-01
1057375,2016-02-01,Fully Paid, 36 months,4000.0,116000.0,19.43,670.0,15.0,2 years,B,RENT,2016-02-01
1057376,2016-02-01,Fully Paid, 36 months,10000.0,35000.0,24.66,700.0,38.0,1 year,B,RENT,2016-02-01
1057377,2016-02-01,Current, 60 months,30000.0,85000.0,30.38,715.0,,10+ years,B,MORTGAGE,2016-02-01
1057378,2016-02-01,Fully Paid, 36 months,9000.0,75000.0,10.82,675.0,52.0,3 years,B,OWN,2016-02-01
1057379,2016-02-01,Fully Paid, 36 months,8400.0,60000.0,6.98,665.0,26.0,2 years,C,MORTGAGE,2016-02-01
1057380,2016-02-01,Charged Off, 60 months,35000.0,90000.0,23.06,720.0,39.0,10+ years,D,RENT,2016-02-01
1057381,2016-02-01,Fully Paid, 36 months,5400.0,18000.0,26.87,685.0,,10+ years,B,RENT,2016-02-01
1057382,2016-02-01,Fully Paid, 36 months,20000.0,78000.0,26.97,660.0,45.0,10+ years,C,MORTGAGE,2016-02-01
1057383,2016-02-01,Fully Paid, 36 months,12000.0,50000.0,21.01,700.0,,9 years,C,RENT,2016-02-01
1057384,2016-02-01,Charged Off, 36 months,18000.0,65000.0,19.2,675.0,16.0,10+ years,B,RENT,2016-02-01
1057385,2016-02-01,Fully Paid, 36 months,20000.0,80000.0,19.13,725.0,78.0,10+ years,A,MORTGAGE,2016-02-01
1057386,2016-02-01,Fully Paid, 36 months,35000.0,200000.0,24.58,665.0,36.0,6 years,C,MORTGAGE,2016-02-01
1057387,2016-02-01,Fully Paid, 36 months,15400.0,92000.0,28.92,730.0,18.0,10+ years,A,MORTGAGE,2016-02-01
1057388,2016-02-01,Fully Paid, 36 months,10000.0,130000.0,6.0,670.0,67.0,10+ years,B,OWN,2016-02-01
1057389,2016-02-01,Fully Paid, 36 months,10775.0,35500.0,10.64,670.0,28.0,6 years,C,OWN,2016-02-01
1057390,2016-02-01,Fully Paid, 36 months,6025.0,35000.0,39.58,690.0,,8 years,C,RENT,2016-02-01
1057392,2016-02-01,Fully Paid, 36 months,7300.0,48000.0,17.8,660.0,2.0,5 years,B,MORTGAGE,2016-02-01
1057393,2016-02-01,Fully Paid, 36 months,12000.0,76000.0,29.4,695.0,,2 years,C,MORTGAGE,2016-02-01
1057394,2016-02-01,Fully Paid, 36 months,13200.0,30000.0,23.72,680.0,,10+ years,C,RENT,2016-02-01
1057395,2016-02-01,Fully Paid, 36 months,4000.0,72500.0,3.41,660.0,73.0,10+ years,B,MORTGAGE,2016-02-01
1057396,2016-02-01,Fully Paid, 36 months,10000.0,50000.0,21.89,680.0,27.0,1 year,A,RENT,2016-02-01
1057397,2016-02-01,Fully Paid, 36 months,9600.0,108000.0,11.53,745.0,,10+ years,A,RENT,2016-02-01
1057398,2016-02-01,Fully Paid, 60 months,17000.0,54000.0,14.8,690.0,,4 years,D,MORTGAGE,2016-02-01
1057399,2016-02-01,Fully Paid, 36 months,12700.0,45000.0,15.41,730.0,,5 years,B,MORTGAGE,2016-02-01
1057400,2016-02-01,Charged Off, 36 months,20000.0,138000.0,16.65,710.0,13.0,5 years,B,MORTGAGE,2016-02-01
1057401,2016-02-01,Fully Paid, 36 months,6000.0,65000.0,29.27,660.0,,7 years,C,RENT,2016-02-01
1057402,2016-02-01,Fully Paid, 60 months,21000.0,95000.0,23.93,675.0,4.0,3 years,C,MORTGAGE,2016-02-01
1057403,2016-02-01,Fully Paid, 36 months,7000.0,32000.0,26.14,665.0,11.0,9 years,B,OWN,2016-02-01
1057404,2016-02-01,Fully Paid, 36 months,14400.0,93000.0,21.57,700.0,49.0,10+ years,B,MORTGAGE,2016-02-01
1057406,2016-02-01,Current, 60 months,20000.0,110000.0,5.33,720.0,,10+ years,B,MORTGAGE,2016-02-01
1057407,2016-02-01,Fully Paid, 60 months,20000.0,89000.0,5.18,685.0,37.0,5 years,C,RENT,2016-02-01
1057408,2016-02-01,Fully Paid, 36 months,10000.0,64000.0,14.93,705.0,,9 years,B,MORTGAGE,2016-02-01
1057409,2016-02-01,Fully Paid, 36 months,20000.0,300000.0,14.86,675.0,,10+ years,B,RENT,2016-02-01
1057410,2016-02-01,Current, 60 months,23225.0,82500.0,27.64,670.0,15.0,10+ years,D,MORTGAGE,2016-02-01
1057411,2016-02-01,Current, 60 months,15000.0,40000.0,9.3,660.0,,3 years,E,MORTGAGE,2016-02-01
1057412,2016-02-01,Fully Paid, 60 months,16000.0,86000.0,32.73,725.0,,10+ years,D,MORTGAGE,2016-02-01
1057413,2016-02-01,Charged Off, 36 months,6000.0,50000.0,27.92,720.0,,10+ years,C,MORTGAGE,2016-02-01
1057414,2016-02-01,Fully Paid, 36 months,12475.0,72000.0,20.0,665.0,,1 year,C,RENT,2016-02-01
1057415,2016-02-01,Charged Off, 36 months,24000.0,75000.0,19.92,760.0,,10+ years,A,MORTGAGE,2016-02-01
1057416,2016-02-01,Fully Paid, 36 months,15750.0,37500.0,14.69,700.0,,10+ years,C,RENT,2016-02-01
1057417,2016-02-01,Fully Paid, 36 months,17000.0,186000.0,34.53,665.0,,10+ years,C,MORTGAGE,2016-02-01
1057418,2016-02-01,Current, 60 months,35000.0,180000.0,31.47,720.0,,10+ years,C,MORTGAGE,2016-02-01
1057419,2016-02-01,Current, 60 months,15000.0,110000.0,4.99,675.0,9.0,10+ years,D,MORTGAGE,2016-02-01
1057420,2016-02-01,Charged Off, 36 months,5500.0,50000.0,12.65,685.0,,< 1 year,B,OWN,2016-02-01
1057421,2016-02-01,Fully Paid, 36 months,16000.0,108000.0,21.58,715.0,44.0,10+ years,A,MORTGAGE,2016-02-01
1057422,2016-02-01,Charged Off, 60 months,24000.0,63000.0,24.3,680.0,33.0,10+ years,E,MORTGAGE,2016-02-01
1057423,2016-02-01,Current, 60 months,17500.0,82000.0,25.27,660.0,45.0,10+ years,D,MORTGAGE,2016-02-01
1057425,2016-02-01,Fully Paid, 36 months,10000.0,70000.0,10.85,685.0,,2 years,C,RENT,2016-02-01
1057426,2016-02-01,Fully Paid, 60 months,13200.0,50000.0,27.73,680.0,71.0,3 years,D,RENT,2016-02-01
1057427,2016-02-01,Fully Paid, 36 months,6000.0,52000.0,35.38,705.0,13.0,10+ years,C,MORTGAGE,2016-02-01
1057428,2016-02-01,Fully Paid, 60 months,18000.0,49000.0,15.5,710.0,63.0,10+ years,D,MORTGAGE,2016-02-01
1057429,2016-02-01,Fully Paid, 36 months,5600.0,114000.0,8.13,725.0,,10+ years,B,RENT,2016-02-01
1057430,2016-02-01,Charged Off, 36 months,28600.0,78406.0,35.48,705.0,,10+ years,D,MORTGAGE,2016-02-01
1057431,2016-02-01,Charged Off, 36 months,9900.0,74900.0,23.2,670.0,78.0,6 years,F,RENT,2016-02-01
1057432,2016-02-01,Fully Paid, 36 months,14000.0,56000.0,22.4,745.0,,9 years,A,RENT,2016-02-01
1057433,2016-02-01,Fully Paid, 36 months,6000.0,52000.0,9.42,715.0,,2 years,B,RENT,2016-02-01
1057434,2016-02-01,Charged Off, 36 months,4500.0,30000.0,7.64,675.0,24.0,3 years,B,RENT,2016-02-01
1057436,2016-02-01,Fully Paid, 36 months,20000.0,72000.0,17.93,665.0,65.0,< 1 year,B,MORTGAGE,2016-02-01
1057437,2016-02-01,Current, 60 months,24000.0,100000.0,22.11,680.0,52.0,10+ years,B,MORTGAGE,2016-02-01
1057438,2016-02-01,Fully Paid, 60 months,13250.0,70000.0,31.18,765.0,,6 years,C,MORTGAGE,2016-02-01
1057439,2016-02-01,Fully Paid, 36 months,6000.0,26500.0,24.59,680.0,,4 years,C,RENT,2016-02-01
1057440,2016-02-01,Charged Off, 60 months,18150.0,44152.0,4.24,720.0,7.0,10+ years,G,MORTGAGE,2016-02-01
1057441,2016-02-01,Fully Paid, 36 months,8000.0,120000.0,2.65,710.0,55.0,10+ years,A,RENT,2016-02-01
1057442,2016-02-01,Fully Paid, 36 months,10000.0,38000.0,19.55,660.0,22.0,10+ years,C,MORTGAGE,2016-02-01
1057443,2016-02-01,Current, 60 months,25000.0,42500.0,27.14,690.0,68.0,3 years,C,MORTGAGE,2016-02-01
1057444,2016-02-01,Fully Paid, 36 months,9000.0,63500.0,11.21,740.0,22.0,10+ years,A,MORTGAGE,2016-02-01
1057445,2016-02-01,Fully Paid, 36 months,11000.0,90000.0,13.99,775.0,48.0,2 years,A,MORTGAGE,2016-02-01
1057446,2016-02-01,Charged Off, 36 months,16000.0,50000.0,44.06,690.0,,6 years,D,RENT,2016-02-01
1057447,2016-02-01,Fully Paid, 36 months,5150.0,42000.0,5.09,695.0,17.0,4 years,F,RENT,2016-02-01
1057448,2016-02-01,Charged Off, 36 months,30000.0,120000.0,31.97,665.0,6.0,7 years,C,RENT,2016-02-01
1057449,2016-02-01,Current, 60 months,17000.0,66000.0,42.15,665.0,70.0,10+ years,C,MORTGAGE,2016-02-01
1057450,2016-02-01,Charged Off, 60 months,21000.0,115000.0,19.8,665.0,2.0,2 years,D,RENT,2016-02-01
1057451,2016-02-01,Charged Off, 60 months,20050.0,66900.0,6.13,690.0,17.0,6 years,G,RENT,2016-02-01
1057452,2016-02-01,Charged Off, 60 months,35000.0,85000.0,11.69,670.0,2.0,3 years,E,MORTGAGE,2016-02-01
1057453,2016-02-01,Charged Off, 60 months,16000.0,55000.0,37.36,660.0,49.0,< 1 year,F,MORTGAGE,2016-02-01
1057454,2016-02-01,Fully Paid, 36 months,5325.0,40000.0,7.92,685.0,22.0,1 year,A,RENT,2016-02-01
1057455,2016-02-01,Charged Off, 60 months,16200.0,45000.0,2.13,675.0,31.0,1 year,E,RENT,2016-02-01
1057457,2016-02-01,Fully Paid, 36 months,35000.0,79000.0,30.91,715.0,,4 years,C,MORTGAGE,2016-02-01
1057458,2016-02-01,Charged Off, 36 months,15000.0,87000.0,21.09,665.0,12.0,< 1 year,B,RENT,2016-02-01
1057460,2016-02-01,Fully Paid, 36 months,16000.0,90000.0,32.25,685.0,9.0,5 years,C,RENT,2016-02-01
1057461,2016-02-01,Charged Off, 36 months,6000.0,65000.0,20.5,665.0,12.0,< 1 year,B,RENT,2016-02-01
1057462,2016-02-01,Fully Paid, 36 months,12000.0,60000.0,19.8,670.0,52.0,6 years,D,MORTGAGE,2016-02-01
1057463,2016-02-01,Current, 60 months,10500.0,75000.0,26.85,660.0,47.0,2 years,C,RENT,2016-02-01
1057464,2016-02-01,Fully Paid, 36 months,16000.0,94000.0,21.61,675.0,,5 years,B,MORTGAGE,2016-02-01
1057465,2016-02-01,Late (31-120 days), 36 months,12000.0,36000.0,43.13,675.0,72.0,8 years,C,MORTGAGE,2016-02-01
1057466,2016-02-01,Fully Paid, 36 months,12000.0,90000.0,11.24,690.0,13.0,1 year,C,RENT,2016-02-01
1057467,2016-02-01,Charged Off, 60 months,10600.0,80611.0,8.04,695.0,49.0,10+ years,A,MORTGAGE,2016-02-01
1057468,2016-02-01,Late (31-120 days), 36 months,10000.0,58000.0,3.39,660.0,61.0,10+ years,B,MORTGAGE,2016-02-01
1057469,2016-02-01,Current, 60 months,12500.0,55861.0,17.53,680.0,56.0,7 years,B,RENT,2016-02-01
1057470,2016-02-01,Fully Paid, 36 months,10200.0,110000.0,18.52,715.0,32.0,3 years,A,RENT,2016-02-01
1057471,2016-02-01,Fully Paid, 36 months,5000.0,80000.0,19.4,670.0,,10+ years,C,RENT,2016-02-01
1057472,2016-02-01,Current, 60 months,15000.0,60000.0,18.6,710.0,11.0,8 years,C,MORTGAGE,2016-02-01
1057473,2016-02-01,Charged Off, 60 months,10000.0,45000.0,5.17,700.0,,1 year,C,RENT,2016-02-01
1057474,2016-02-01,Fully Paid, 36 months,22000.0,125000.0,16.79,705.0,4.0,10+ years,B,MORTGAGE,2016-02-01
1057475,2016-02-01,Fully Paid, 36 months,24000.0,208000.0,16.73,755.0,,8 years,A,MORTGAGE,2016-02-01
1057476,2016-02-01,Fully Paid, 36 months,21000.0,232000.0,21.68,725.0,7.0,10+ years,A,MORTGAGE,2016-02-01
1057477,2016-02-01,Fully Paid, 36 months,4800.0,53000.0,15.49,670.0,37.0,10+ years,B,RENT,2016-02-01
1057478,2016-02-01,Charged Off, 60 months,35000.0,120000.0,18.29,730.0,69.0,10+ years,C,MORTGAGE,2016-02-01
1057479,2016-02-01,Current, 60 months,12500.0,42000.0,25.91,750.0,,10+ years,E,MORTGAGE,2016-02-01
1057480,2016-02-01,Fully Paid, 36 months,5000.0,66700.0,24.52,700.0,,6 years,A,MORTGAGE,2016-02-01
1057481,2016-02-01,Fully Paid, 60 months,30000.0,95000.0,23.96,745.0,23.0,8 years,C,MORTGAGE,2016-02-01
1057482,2016-02-01,Fully Paid, 36 months,18600.0,46500.0,33.18,660.0,5.0,,B,OWN,2016-02-01
1057483,2016-02-01,Fully Paid, 36 months,5000.0,69000.0,19.63,660.0,15.0,6 years,B,RENT,2016-02-01
1057484,2016-02-01,Fully Paid, 36 months,8000.0,66000.0,24.67,680.0,,4 years,A,MORTGAGE,2016-02-01
1057485,2016-02-01,Current, 60 months,21375.0,73840.0,23.89,665.0,,< 1 year,E,MORTGAGE,2016-02-01
1057486,2016-02-01,Fully Paid, 36 months,4500.0,30000.0,16.56,690.0,,2 years,D,RENT,2016-02-01
1057487,2016-02-01,Charged Off, 36 months,9600.0,52000.0,4.75,680.0,,< 1 year,C,MORTGAGE,2016-02-01
1057488,2016-02-01,Fully Paid, 36 months,3000.0,38500.0,7.54,715.0,,2 years,B,RENT,2016-02-01
1057489,2016-02-01,Current, 60 months,28800.0,105000.0,26.88,690.0,67.0,< 1 year,E,OWN,2016-02-01
1057490,2016-02-01,Charged Off, 60 months,25000.0,66880.0,32.48,690.0,,2 years,B,MORTGAGE,2016-02-01
1057491,2016-02-01,Fully Paid, 36 months,30000.0,110000.0,31.79,675.0,,9 years,B,MORTGAGE,2016-02-01
1057492,2016-02-01,Fully Paid, 36 months,5000.0,40000.0,20.16,685.0,36.0,10+ years,A,RENT,2016-02-01
1057493,2016-02-01,Current, 60 months,22400.0,69000.0,37.67,690.0,,10+ years,E,MORTGAGE,2016-02-01
1057494,2016-02-01,Charged Off, 36 months,4000.0,48000.0,38.79,670.0,11.0,9 years,C,RENT,2016-02-01
1057495,2016-02-01,Fully Paid, 36 months,23000.0,92300.0,34.13,670.0,,10+ years,B,RENT,2016-02-01
1057496,2016-02-01,Charged Off, 60 months,24000.0,185000.0,30.89,670.0,,3 years,E,RENT,2016-02-01
1057497,2016-02-01,Fully Paid, 36 months,24000.0,80000.0,15.89,660.0,66.0,6 years,B,RENT,2016-02-01
1057498,2016-02-01,Fully Paid, 36 months,2000.0,60000.0,22.7,720.0,14.0,1 year,A,MORTGAGE,2016-02-01
1057499,2016-02-01,Current, 60 months,18000.0,96944.43,17.43,710.0,,2 years,B,OWN,2016-02-01
1057500,2016-02-01,Fully Paid, 36 months,35000.0,226000.0,27.16,745.0,,10+ years,D,MORTGAGE,2016-02-01
1057501,2016-02-01,Charged Off, 36 months,7275.0,40000.0,21.12,660.0,,10+ years,E,MORTGAGE,2016-02-01
1057502,2016-02-01,Fully Paid, 36 months,5000.0,30000.0,41.08,685.0,,,B,RENT,2016-02-01
1057503,2016-02-01,Fully Paid, 36 months,21000.0,89000.0,29.48,690.0,54.0,4 years,B,RENT,2016-02-01
1057504,2016-02-01,Fully Paid, 36 months,8000.0,36000.0,9.2,680.0,,< 1 year,C,RENT,2016-02-01
1057505,2016-02-01,Fully Paid, 36 months,24000.0,75000.0,28.64,685.0,72.0,10+ years,A,MORTGAGE,2016-02-01
1057506,2016-02-01,Fully Paid, 36 months,6000.0,52000.0,15.95,675.0,38.0,8 years,B,MORTGAGE,2016-02-01
1057508,2016-02-01,Fully Paid, 36 months,35000.0,104000.0,35.03,730.0,,10+ years,E,MORTGAGE,2016-02-01
1057509,2016-02-01,Fully Paid, 36 months,8000.0,40107.0,31.39,700.0,,1 year,C,RENT,2016-02-01
1057510,2016-02-01,Charged Off, 60 months,18000.0,123000.0,38.53,675.0,51.0,4 years,E,MORTGAGE,2016-02-01
1057511,2016-02-01,Fully Paid, 36 months,7500.0,40000.0,33.75,700.0,24.0,2 years,B,RENT,2016-02-01
1057513,2016-02-01,Fully Paid, 36 months,2000.0,105000.0,35.34,695.0,46.0,10+ years,D,MORTGAGE,2016-02-01
1057514,2016-02-01,Fully Paid, 36 months,12000.0,40000.0,26.07,750.0,,8 years,C,RENT,2016-02-01
1057515,2016-02-01,Fully Paid, 36 months,10000.0,74000.0,24.2,670.0,70.0,10+ years,C,MORTGAGE,2016-02-01
1057516,2016-02-01,Fully Paid, 36 months,13000.0,74900.0,27.43,680.0,,10+ years,C,MORTGAGE,2016-02-01
1057517,2016-02-01,Fully Paid, 60 months,15600.0,108000.0,10.58,745.0,16.0,10+ years,A,MORTGAGE,2016-02-01
1057518,2016-02-01,Charged Off, 36 months,12000.0,40400.0,31.85,660.0,20.0,2 years,B,RENT,2016-02-01
1057519,2016-02-01,Fully Paid, 36 months,14950.0,34000.0,24.74,700.0,,2 years,C,RENT,2016-02-01
1057520,2016-02-01,Fully Paid, 60 months,24000.0,68000.0,12.94,700.0,,10+ years,C,MORTGAGE,2016-02-01
1057521,2016-02-01,Fully Paid, 36 months,15500.0,42000.0,15.34,720.0,,10+ years,A,OWN,2016-02-01
1057522,2016-02-01,Fully Paid, 36 months,4000.0,45000.0,35.87,695.0,63.0,10+ years,B,MORTGAGE,2016-02-01
1057523,2016-02-01,Fully Paid, 36 months,7150.0,20170.0,19.05,720.0,21.0,2 years,B,OWN,2016-02-01
1057524,2016-02-01,Fully Paid, 36 months,24000.0,252000.0,5.82,705.0,73.0,4 years,A,RENT,2016-02-01
1057525,2016-02-01,Current, 60 months,18500.0,65000.0,13.69,710.0,,8 years,B,MORTGAGE,2016-02-01
1057526,2016-02-01,Fully Paid, 36 months,7500.0,30000.0,26.96,750.0,,10+ years,B,MORTGAGE,2016-02-01
1057527,2016-02-01,Charged Off, 36 months,25000.0,53250.0,18.1,685.0,,2 years,D,MORTGAGE,2016-02-01
1057528,2016-02-01,Fully Paid, 36 months,3000.0,46000.0,7.02,675.0,,8 years,B,RENT,2016-02-01
1057529,2016-02-01,Fully Paid, 36 months,20000.0,79000.0,36.44,680.0,78.0,6 years,C,MORTGAGE,2016-02-01
1057530,2016-02-01,Fully Paid, 36 months,16000.0,60000.0,33.52,685.0,,8 years,B,MORTGAGE,2016-02-01
1057531,2016-02-01,Fully Paid, 36 months,7500.0,50000.0,29.76,765.0,,4 years,A,MORTGAGE,2016-02-01
1057532,2016-02-01,Charged Off, 36 months,7000.0,38000.0,19.59,730.0,,10+ years,C,RENT,2016-02-01
1057533,2016-02-01,Charged Off, 36 months,35000.0,100000.0,26.64,680.0,7.0,10+ years,D,MORTGAGE,2016-02-01
1057534,2016-02-01,Current, 60 months,15000.0,120000.0,12.79,690.0,39.0,10+ years,B,RENT,2016-02-01
1057535,2016-02-01,Fully Paid, 36 months,1500.0,56000.0,12.57,675.0,4.0,6 years,B,RENT,2016-02-01
1057536,2016-02-01,Fully Paid, 36 months,10500.0,80000.0,12.71,665.0,34.0,9 years,B,RENT,2016-02-01
1057537,2016-02-01,Charged Off, 36 months,23500.0,56000.0,27.18,690.0,5.0,9 years,B,MORTGAGE,2016-02-01
1057538,2016-02-01,Fully Paid, 36 months,11000.0,34500.0,16.73,685.0,,10+ years,B,OWN,2016-02-01
1057539,2016-02-01,Fully Paid, 36 months,5000.0,70000.0,10.56,695.0,9.0,10+ years,A,MORTGAGE,2016-02-01
1057540,2016-02-01,Fully Paid, 60 months,12000.0,160000.0,10.97,825.0,,10+ years,A,MORTGAGE,2016-02-01
1057541,2016-02-01,Fully Paid, 36 months,2800.0,35160.0,39.66,675.0,134.0,,D,RENT,2016-02-01
1057542,2016-02-01,Fully Paid, 36 months,2500.0,42000.0,25.91,670.0,15.0,10+ years,C,MORTGAGE,2016-02-01
1057543,2016-02-01,Fully Paid, 36 months,5975.0,130000.0,17.53,695.0,81.0,10+ years,D,MORTGAGE,2016-02-01
1057544,2016-02-01,Fully Paid, 36 months,32000.0,203000.0,10.6,720.0,,10+ years,A,MORTGAGE,2016-02-01
1057545,2016-02-01,Current, 60 months,18000.0,80000.0,12.2,705.0,,10+ years,C,MORTGAGE,2016-02-01
1057546,2016-02-01,Current, 36 months,25000.0,100000.0,37.25,685.0,17.0,10+ years,D,MORTGAGE,2016-02-01
1057547,2016-02-01,Charged Off, 36 months,8400.0,30000.0,17.56,720.0,,5 years,B,MORTGAGE,2016-02-01
1057548,2016-02-01,Fully Paid, 36 months,16000.0,40000.0,11.73,705.0,62.0,3 years,A,RENT,2016-02-01
1057549,2016-02-01,Charged Off, 60 months,20000.0,60000.0,10.55,680.0,12.0,< 1 year,D,RENT,2016-02-01
1057550,2016-02-01,Fully Paid, 36 months,4550.0,35890.0,9.3,700.0,,4 years,B,RENT,2016-02-01
1057551,2016-02-01,Charged Off, 36 months,20000.0,90000.0,28.77,675.0,16.0,10+ years,B,MORTGAGE,2016-02-01
1057552,2016-02-01,Charged Off, 36 months,8000.0,35000.0,38.07,740.0,,7 years,D,RENT,2016-02-01
1057553,2016-02-01,Fully Paid, 36 months,10000.0,83200.0,10.9,670.0,19.0,< 1 year,B,MORTGAGE,2016-02-01
1057554,2016-02-01,Current, 60 months,16000.0,55000.0,11.52,665.0,,3 years,D,RENT,2016-02-01
1057555,2016-02-01,Fully Paid, 36 months,14400.0,68000.0,18.02,675.0,,2 years,B,RENT,2016-02-01
1057556,2016-02-01,Fully Paid, 36 months,24000.0,133000.0,23.35,745.0,,10+ years,A,MORTGAGE,2016-02-01
1057557,2016-02-01,Current, 60 months,26675.0,58000.0,20.46,735.0,,10+ years,E,RENT,2016-02-01
1057558,2016-02-01,Fully Paid, 36 months,11000.0,50000.0,8.83,740.0,,1 year,A,RENT,2016-02-01
1057559,2016-02-01,Fully Paid, 36 months,15850.0,97000.0,12.58,665.0,6.0,7 years,C,MORTGAGE,2016-02-01
1057560,2016-02-01,Current, 60 months,14000.0,50000.0,29.98,670.0,35.0,< 1 year,C,MORTGAGE,2016-02-01
1057561,2016-02-01,Charged Off, 36 months,15000.0,82000.0,25.52,700.0,,10+ years,B,RENT,2016-02-01
1057562,2016-02-01,Fully Paid, 36 months,10500.0,63360.0,32.86,680.0,67.0,3 years,C,RENT,2016-02-01
1057563,2016-02-01,Fully Paid, 60 months,30000.0,60000.0,22.56,715.0,64.0,10+ years,C,MORTGAGE,2016-02-01
1057564,2016-02-01,Fully Paid, 36 months,19800.0,137000.0,16.02,665.0,29.0,2 years,B,MORTGAGE,2016-02-01
1057565,2016-02-01,Fully Paid, 36 months,10000.0,84000.0,5.24,665.0,,5 years,B,RENT,2016-02-01
1057566,2016-02-01,Charged Off, 36 months,5000.0,30000.0,9.6,805.0,,,B,MORTGAGE,2016-02-01
1057567,2016-02-01,Charged Off, 36 months,3500.0,76000.0,10.77,795.0,,,A,OWN,2016-02-01
1057568,2016-02-01,Charged Off, 60 months,14000.0,41000.0,36.59,675.0,46.0,10+ years,E,RENT,2016-02-01
1057569,2016-02-01,Fully Paid, 36 months,17500.0,71000.0,10.07,720.0,,10+ years,B,MORTGAGE,2016-02-01
1057570,2016-02-01,Fully Paid, 36 months,6000.0,28000.0,23.27,675.0,,3 years,B,RENT,2016-02-01
1057571,2016-02-01,Fully Paid, 36 months,6000.0,80000.0,16.23,660.0,17.0,1 year,C,RENT,2016-02-01
1057572,2016-02-01,Fully Paid, 36 months,5025.0,14000.0,17.84,660.0,,,E,RENT,2016-02-01
1057573,2016-02-01,Fully Paid, 36 months,6025.0,50000.0,30.94,665.0,17.0,3 years,C,RENT,2016-02-01
1057574,2016-02-01,Charged Off, 60 months,12000.0,75000.0,22.74,665.0,,10+ years,E,RENT,2016-02-01
1057575,2016-02-01,Fully Paid, 36 months,8000.0,130000.0,5.93,670.0,,4 years,C,RENT,2016-02-01
1057576,2016-02-01,Current, 60 months,16000.0,119000.0,21.01,690.0,12.0,10+ years,C,MORTGAGE,2016-02-01
1057578,2016-02-01,Fully Paid, 36 months,3625.0,50000.0,32.48,705.0,64.0,,B,MORTGAGE,2016-02-01
1057579,2016-02-01,Charged Off, 36 months,15550.0,70000.0,23.36,690.0,20.0,2 years,A,RENT,2016-02-01
1057580,2016-02-01,Fully Paid, 36 months,5000.0,82000.0,22.64,665.0,50.0,10+ years,C,RENT,2016-02-01
1057581,2016-02-01,Fully Paid, 36 months,9000.0,40000.0,6.85,690.0,,3 years,B,MORTGAGE,2016-02-01
1057582,2016-02-01,Fully Paid, 36 months,12000.0,100000.0,14.12,665.0,65.0,5 years,B,RENT,2016-02-01
1057583,2016-02-01,Fully Paid, 60 months,15000.0,46000.0,12.11,700.0,36.0,1 year,B,MORTGAGE,2016-02-01
1057584,2016-02-01,Fully Paid, 36 months,12000.0,115000.0,15.49,680.0,16.0,1 year,A,MORTGAGE,2016-02-01
1057585,2016-02-01,Fully Paid, 36 months,9600.0,40000.0,21.3,725.0,,< 1 year,A,RENT,2016-02-01
1057586,2016-02-01,Fully Paid, 36 months,12000.0,48027.0,9.6,715.0,,10+ years,A,MORTGAGE,2016-02-01
1057587,2016-02-01,Current, 60 months,35000.0,100000.0,15.38,690.0,20.0,10+ years,D,MORTGAGE,2016-02-01
1057588,2016-02-01,Fully Paid, 36 months,8000.0,49000.0,27.8,660.0,47.0,10+ years,C,MORTGAGE,2016-02-01
1057589,2016-02-01,Fully Paid, 36 months,7000.0,35000.0,7.58,680.0,79.0,3 years,A,RENT,2016-02-01
1057590,2016-02-01,Current, 60 months,12000.0,85000.0,30.3,670.0,,10+ years,C,MORTGAGE,2016-02-01
1057591,2016-02-01,Fully Paid, 60 months,20000.0,62000.0,31.4,710.0,65.0,7 years,C,MORTGAGE,2016-02-01
1057592,2016-02-01,Fully Paid, 36 months,20800.0,192000.0,18.23,670.0,27.0,8 years,B,MORTGAGE,2016-02-01
1057593,2016-02-01,Fully Paid, 36 months,14000.0,120000.0,12.01,700.0,28.0,< 1 year,A,RENT,2016-02-01
1057594,2016-02-01,Fully Paid, 36 months,15000.0,128000.0,14.57,690.0,66.0,4 years,A,MORTGAGE,2016-02-01
1057595,2016-02-01,Fully Paid, 36 months,10000.0,110000.0,14.41,705.0,,10+ years,A,MORTGAGE,2016-02-01
1057596,2016-02-01,Charged Off, 60 months,15000.0,52000.0,29.02,670.0,27.0,10+ years,D,RENT,2016-02-01
1057597,2016-02-01,Fully Paid, 36 months,5000.0,56000.0,27.65,665.0,11.0,9 years,C,MORTGAGE,2016-02-01
1057598,2016-02-01,Fully Paid, 36 months,16000.0,60000.0,18.66,660.0,30.0,10+ years,C,RENT,2016-02-01
1057599,2016-02-01,Fully Paid, 36 months,8375.0,50000.0,17.88,680.0,15.0,6 years,C,MORTGAGE,2016-02-01
1057600,2016-02-01,Fully Paid, 36 months,12000.0,30000.0,34.36,695.0,,10+ years,D,OWN,2016-02-01
1057601,2016-02-01,Fully Paid, 36 months,1000.0,80000.0,9.51,675.0,,2 years,C,RENT,2016-02-01
1057602,2016-02-01,Current, 60 months,14000.0,75000.0,16.4,680.0,,< 1 year,C,MORTGAGE,2016-02-01
